Date,Narration,Credit,UTR
2026-08-25,"NEFT/AXISN098273641/INV-2024-1001/TECHCORP/GROSS-FULL-PMT/BLR-EAST-BR",100000,AXISN098273641
2026-08-25,"HDFC/RTGS/CMS/INV-2024-1002/ACME-GLOBAL/CONTRACTOR-194C-2PCT-TDS/MUM-NORTH",49000,HDFCN112233445
2026-08-25,"ICICI-CORP-NEFT-CLOUDSCALE-INV-2024-1003-PROF-FEES-SEC-194J-LESS-10PCT",225000,ICICIN998877665
2026-08-25,"SBI/RTGS/INFOSYS-LTD/INV-2024-2002/PURCHASE-OF-GOODS-TDS-SEC194Q-0.1PCT",499500,SBIN001928374
2026-08-25,"KOTAK/NEFT/SWIGGY/INV-2024-2007/BROKERAGE-COMMISSION-194H-5PCT-DEDUCTION",76000,KOTAK99881122
2026-08-25,"PUNB-CORP-ZOMATO-INV-2024-2009-NON-FILER-PENAL-TDS-SEC206AB-20PCT-RATE",72000,PUNBN88776655
2026-08-25,"YESB/RTGS/INFOSYS/INV-2024-2001/CBDT-CIRCULAR-23-TDS-ON-BASE-ONLY-10PCT",183050.85,YESBN33445566
2026-08-25,"PG-SETTL/RAZORPAY/PAYTM/INV-2024-2014/NET-PAYOUT-LESS-WIRE-FEE-100",109900,AXISP99001122
2026-08-25,"INDB/NEFT/SWIGGY/INV-2024-2008/TDS-2PCT-PLUS-WIRE-CHG-50-COMBO",122450,INDBN77889900
2026-08-25,"BARB-CMS-CONSOLIDATED-INV-2024-1008-AND-INV-2024-1009-SPLIT-PMT",140000,BARBN44556677
2026-08-25,"CITI-CORP/TATA-CONSULTANCY/INV-2024-2004/RULE-HISTORICAL-CONTRACT-2PCT",441000,CITIN11002299
2026-08-25,"HSBC/NEFT/WIPRO/INV-2024-2006/RETAINER-MONTHLY-SETTL-2PCT",274400,HSBCN99221100
2026-08-25,"UPI/CR/58291039102/1NV-2O24-IOO4/ZENITH/OCR-MESSY-TYPOS-TDS-1O-PERCENT",67500,UPI58291039102
2026-08-25,"IMPS/HEXAWAVE-CONSULTING/PROF-SERVICES-SETTLEMENT-LESS-10PCT-TDS-AUG",144000,IMPS8829102910
2026-08-25,"IDFC/NEFT/TECHCORP/INV-2024-1001/SHORT-UNILATERAL-DEDUCTION-15K",85000,IDFIN99882211
2026-08-25,"FEDB-RTGS-TECHCORP-INV-2024-1001-EXCESS-OVERPAYMENT-FRAUD-RISK-50K-DIFF",150000,FEDBN99112233
2026-08-25,"UNION/NEFT/ACME/INV-2024-1002/ILLEGAL-30PCT-UNEXPLAINED-WITHHOLDING",35000,UNION99334455
2026-08-25,"UPI/CR/998811223344/UNKNOWN-ANONYMOUS-DIRECT-PAYMENT-NO-INVOICE",14250,UPI99881122334
2026-08-25,"NEFT-YESB-UNKNOWN-PARTY-SECURITY-ADVANCE-UNALLOCATED",42800,YESBN99009915
2026-08-25,"NEFT/AXISN098273641/INV-2024-1001/DUPLICATE-REPLAY-ATTACK-TEST",100000,AXISN098273641
